x,y,e,l,α,β,serveice
2.1910079,8.601213,0.0,250.0,0.0,0.0,0.0
7.671632,5.473253,0.0,250.0,0.0,0.0,0.0
4.4973454,7.786787,0.0,250.0,0.0,0.0,0.0
8.418818,0.16626097,0.0,250.0,0.0,0.0,0.0
3.4002836,8.5854025,0.0,250.0,0.0,0.0,0.0
0.6211355,6.7641187,0.0,250.0,0.0,0.0,0.0
8.839028,5.483509,0.0,250.0,0.0,0.0,0.0
1.3470125,6.5070667,16.654638,224.99565,0.39154783,1.0718414,1.182302
5.090003,7.236297,102.37386,225.07344,0.40488818,0.6702326,1.6376234
4.0735855,2.4285722,195.35689,238.64246,0.21337314,0.8987119,1.1487964
1.2840862,9.973496,35.390347,50.26953,0.07678583,0.5634522,0.39142802
5.581509,4.8999004,243.74347,247.1363,0.5415607,1.9093951,1.2911284
5.7475815,8.416624,190.91942,230.25511,0.025847595,0.9941704,1.566107
1.7856591,8.112029,47.82854,105.8642,0.12599462,0.50613594,0.4271667
3.7941117,7.765082,9.911054,106.308495,0.9767178,0.7412837,0.666033
5.066697,1.4229982,194.50645,227.14548,0.38260168,0.17018586,0.5901559
1.3872861,0.5243795,128.20638,234.3159,0.8306398,1.278277,0.8903179
7.196572,3.8409376,126.42696,141.34189,0.5786263,0.6779268,0.76444674
5.943058,4.4948444,163.43881,164.80557,0.953622,0.88363415,0.5372123
0.723939,4.8188887,172.58946,177.8094,0.37696573,1.9010589,0.9913147
3.7693346,9.031725,165.44037,229.96527,0.2710088,1.6473987,0.78447247
2.4854057,7.1980977,153.58768,229.72298,0.9063171,0.40885133,0.12667856
1.5356674,6.0737476,226.03223,239.27275,0.7578439,1.7788761,1.424012
2.0166457,2.4996111,167.4862,185.17593,0.18979876,1.4619254,1.1594491
1.1278781,2.4526362,150.00063,170.58203,0.8775076,0.38897386,1.6497881
2.1075637,1.6811085,150.51694,205.27675,0.50412536,1.2717956,0.15329112
2.3122563,3.8985708,61.678074,182.78578,0.015822737,0.87943745,0.7335298
9.5018425,0.040299017,42.219627,139.60905,0.32418588,0.36401156,0.15543965
5.542411,8.105257,212.70676,242.48566,0.6387711,0.8631891,1.6077251
6.1252923,5.4121714,22.699535,189.28975,0.95882916,0.47217897,0.64114124
8.333313,4.411151,16.135738,155.68652,0.50994176,0.34014878,0.65139836
8.757396,8.617025,176.08951,222.87819,0.7468471,1.3081621,0.15344025
4.6603813,7.46977,209.04984,244.82605,0.5236966,1.2735515,0.57335013
8.97257,7.9845424,156.23425,209.09476,0.722667,1.5102005,0.7747598
7.6779976,3.9914205,231.88838,239.46579,0.18452768,0.76265746,0.21173944
9.765422,3.7516186,223.72998,241.74184,0.41692328,1.5351757,1.5466065
5.216508,0.18946993,41.251343,106.804985,0.99931073,0.38603073,0.6167786
9.069429,0.48053983,138.84409,243.70428,0.07868616,1.0092164,1.2731981
9.756355,6.5566907,10.952232,203.14546,0.7910514,1.0378723,1.3175267
7.2033734,3.9071865,94.02567,128.8367,0.9025195,0.73081297,1.6842555
4.3281136,2.2072034,72.82447,120.53324,0.29942638,1.5333648,0.436304
9.270485,6.0827785,33.88527,86.43619,0.42780846,1.0939267,0.45490417
0.79630476,8.466369,243.49825,249.88075,0.37924248,1.8118612,1.2693146
6.905344,6.552349,156.87949,161.80914,0.026320482,1.95557,0.84140825
4.273508,7.768692,161.8295,191.92593,0.4015344,0.098362744,0.16167219
1.286281,0.56865877,132.62776,187.28183,0.9419059,1.0841094,1.4801837
8.941121,7.2952104,96.79736,225.25182,0.4045415,0.8613553,0.8862969
1.8251362,3.7047405,209.23877,213.66309,0.50651264,0.8301437,1.0744573
0.98862404,4.419216,155.08748,186.22826,0.97962373,0.013621063,1.8714427
0.9524431,5.6723175,147.8326,249.18246,0.042686213,0.46519667,1.020113
0.027745629,8.770381,42.105602,110.8561,0.42282996,0.44825098,1.6323245
4.035865,2.8389275,153.61674,168.62848,0.5268918,1.696403,1.7666347
0.28551984,8.967749,137.02072,211.13643,0.5300022,0.04187188,0.10844978
8.928689,2.721931,202.79002,238.31232,0.5848744,1.2451987,1.2802999
3.369167,2.5867128,41.90633,137.90858,0.47892898,0.7448547,1.6043056
9.933627,6.6360774,105.840195,249.12611,0.71555644,1.4008336,0.5204917
2.3855646,3.8548255,79.26365,139.79352,0.36673036,0.39264336,1.6730812
5.3269134,5.025243,118.304596,142.46455,0.3077434,0.55580044,0.20332265
5.410092,8.552789,210.32416,226.87967,0.712178,0.9417857,1.610129
1.8094891,9.596884,71.69182,117.419075,0.8582471,1.5266074,1.6726869
6.3027368,7.409477,137.07556,249.49466,0.3654917,1.8049289,0.65809005
7.7680364,4.797176,88.06014,113.70916,0.97279567,0.34903014,1.2207646
1.6940057,3.9015524,5.920414,110.27065,0.9327013,0.41271198,1.6181376
2.4386308,1.1293097,152.04028,212.73952,0.2984561,1.2349206,0.28147575
6.955912,9.875817,243.06746,249.97531,0.12905705,1.2509792,1.6045041
6.411593,8.459432,204.18471,229.32828,0.61794746,1.8004434,1.6356298
8.973171,0.7665161,191.49153,212.45805,0.22034062,1.2621557,0.8608642
6.6201677,2.802776,18.500082,139.47148,0.77453226,1.5798057,0.8861489
0.70347124,9.132238,23.558,167.52042,0.5590465,1.9736322,0.42738736
6.3780985,3.1189485,246.25491,246.992,0.82144177,0.14356302,0.6979979
2.503697,4.00867,15.7115345,93.372375,0.3577918,1.4846897,0.7681882
1.0017598,7.690816,57.239193,207.05612,0.12324634,0.7617013,1.2299492
3.4035957,6.1092496,130.02664,204.64714,0.20356615,0.21944475,0.6837414
2.03341,7.3181815,170.27269,215.73845,0.3958383,1.8793101,1.5653415
8.263594,6.0065713,187.35364,241.60764,0.9680645,1.0619245,0.40571406
9.532752,9.316296,65.75365,76.38343,0.33712748,1.4232088,1.4675262
6.659137,5.4119864,249.21646,249.88945,0.40867728,1.3709966,0.2596145
3.3272283,3.7281573,245.73906,246.72932,0.43581665,0.2756915,0.7700065
5.4849396,4.8524165,193.96698,220.68976,0.48927277,0.75749457,0.24207355
7.5356345,9.378435,85.54034,241.92358,0.07159235,1.636525,1.6526136
5.246053,7.5122323,106.233086,200.62875,0.95389754,0.77525294,0.588698
1.4967691,3.1208808,207.41296,226.47209,0.040137976,0.31915137,1.2913017
9.41603,7.456248,130.03244,136.96558,0.9352554,0.084116995,0.62274957
6.6357303,4.803165,214.47092,235.55658,0.9037143,0.02763385,1.8992673
3.799956,6.3613424,197.85323,211.01196,0.50750023,0.7890053,0.039169885
5.5396647,9.320654,164.096,239.26514,0.46492812,0.7559612,1.5277652
3.5009239,8.08098,7.4669065,249.5245,0.116453,0.32603714,0.6000007
8.965698,3.5458694,0.0,250.0,0.0,0.0,0.0
7.615259,6.20414,0.0,250.0,0.0,0.0,0.0
5.723376,1.9190632,0.0,250.0,0.0,0.0,0.0
6.799502,6.1363964,0.0,250.0,0.0,0.0,0.0
0.49582893,6.3882666,0.0,250.0,0.0,0.0,0.0
8.60692,7.174066,0.0,250.0,0.0,0.0,0.0
